<<<<<<< HEAD
Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
castro,-24.79,-50.01,60.8,77.0,4.0,7.31,BR,1594591101.0
bambous virieux,-20.34,57.76,71.6,78.0,40.0,13.87,MU,1594591101.0
port elizabeth,-33.92,25.57,46.4,81.0,0.0,1.12,ZA,1594591101.0
severo-kurilsk,50.68,156.12,49.78,92.0,100.0,8.46,RU,1594591101.0
rikitea,-23.12,-134.97,71.11,72.0,0.0,16.62,PF,1594591101.0
vaini,-21.2,-175.2,71.6,78.0,40.0,17.22,TO,1594591102.0
itoman,26.12,127.67,84.2,83.0,75.0,3.36,JP,1594591102.0
dikson,73.51,80.55,42.13,97.0,99.0,6.55,RU,1594591102.0
tiksi,71.69,128.87,61.29,69.0,100.0,5.88,RU,1594591103.0
mataura,-46.19,168.86,39.0,83.0,90.0,3.0,NZ,1594591103.0
punta arenas,-53.15,-70.92,37.4,74.0,75.0,21.92,CL,1594591103.0
tiznit,29.58,-9.5,83.05,36.0,82.0,0.72,MA,1594591103.0
busselton,-33.65,115.33,55.0,80.0,37.0,14.34,AU,1594591104.0
boditi,6.97,37.87,57.51,89.0,100.0,1.9,ET,1594591104.0
carnarvon,-24.87,113.63,55.4,87.0,40.0,5.82,AU,1594591104.0
lisakovsk,52.54,62.49,68.0,67.0,0.0,5.35,KZ,1594591104.0
peniche,39.36,-9.38,70.0,86.0,0.0,8.12,PT,1594590911.0
albany,42.6,-73.97,88.0,43.0,9.0,8.43,US,1594591105.0
bambanglipuro,-7.95,110.28,72.23,88.0,98.0,3.18,ID,1594591105.0
klaksvik,62.23,-6.59,50.0,93.0,100.0,11.41,FO,1594591105.0
sucre,-19.03,-65.26,59.85,26.0,0.0,4.25,BO,1594590921.0
ambatondrazaka,-17.83,48.42,56.35,92.0,24.0,3.49,MG,1594591106.0
thunder bay,48.4,-89.32,77.0,50.0,75.0,4.7,CA,1594591106.0
mahebourg,-20.41,57.7,71.6,78.0,40.0,13.87,MU,1594591106.0
lebu,-37.62,-73.65,49.73,89.0,100.0,5.3,CL,1594591106.0
bredasdorp,-34.53,20.04,50.0,61.0,0.0,4.7,ZA,1594591107.0
puerto ayora,-0.74,-90.35,70.0,85.0,84.0,4.0,EC,1594591107.0
clyde river,70.47,-68.59,42.8,93.0,90.0,10.29,CA,1594591107.0
qaanaaq,77.48,-69.36,47.23,59.0,88.0,2.91,GL,1594590835.0
marzuq,14.4,46.47,84.13,42.0,81.0,9.13,YE,1594591107.0
ushuaia,-54.8,-68.3,35.6,93.0,40.0,18.34,AR,1594591108.0
el real de santa maria,8.11,-77.73,87.71,65.0,26.0,2.62,PA,1594591108.0
kapaa,22.08,-159.32,80.6,74.0,75.0,18.34,US,1594591108.0
charters towers,-20.1,146.27,56.21,39.0,54.0,14.92,AU,1594591108.0
codrington,-38.27,141.97,43.95,90.0,0.0,2.8,AU,1594591109.0
cairns,-16.92,145.77,71.6,78.0,74.0,8.05,AU,1594591110.0
bantou,26.22,117.49,76.71,82.0,98.0,1.19,CN,1594591110.0
touros,-5.2,-35.46,75.2,83.0,20.0,5.82,BR,1594591110.0
kodar,16.98,79.97,83.89,69.0,100.0,6.24,IN,1594591110.0
coquimbo,-29.95,-71.34,59.0,72.0,62.0,9.17,CL,1594590813.0
verkhnevilyuysk,63.45,120.32,66.45,71.0,97.0,1.07,RU,1594591102.0
upernavik,72.79,-56.15,41.86,84.0,97.0,9.89,GL,1594591111.0
lasa,46.62,10.7,57.2,76.0,5.0,0.85,IT,1594590812.0
jamestown,42.1,-79.24,73.99,68.0,1.0,9.17,US,1594590967.0
ostrovnoy,68.05,39.51,47.79,91.0,100.0,6.71,RU,1594591111.0
luderitz,-26.65,15.16,53.6,93.0,3.0,1.12,NA,1594591112.0
atuona,-9.8,-139.03,80.44,74.0,2.0,21.14,PF,1594591112.0
komsomolskiy,40.43,71.72,73.4,53.0,100.0,4.7,UZ,1594591112.0
cabo san lucas,22.89,-109.91,93.2,46.0,40.0,9.17,MX,1594590972.0
hobart,-42.88,147.33,39.2,93.0,75.0,9.17,AU,1594591112.0
tasiilaq,65.61,-37.64,41.0,86.0,0.0,8.05,GL,1594591113.0
kruisfontein,-34.0,24.73,58.95,32.0,0.0,15.79,ZA,1594591113.0
malayal,7.21,121.94,78.1,78.0,99.0,3.24,PH,1594591113.0
bluff,-46.6,168.33,39.0,83.0,87.0,3.0,NZ,1594590946.0
teya,60.38,92.63,59.13,78.0,71.0,4.63,RU,1594591114.0
kaitangata,-46.28,169.85,41.0,73.0,4.0,8.01,NZ,1594591114.0
vila velha,-20.33,-40.29,75.2,73.0,29.0,12.75,BR,1594591114.0
norman wells,65.28,-126.83,62.6,67.0,75.0,6.93,CA,1594591114.0
tabou,4.42,-7.35,75.22,80.0,88.0,7.09,CI,1594591114.0
san juan del sur,11.25,-85.87,82.35,76.0,100.0,17.29,NI,1594591115.0
cogealac,44.55,28.57,66.2,63.0,50.0,14.99,RO,1594591115.0
raudeberg,61.99,5.14,53.6,76.0,75.0,3.36,NO,1594591115.0
mikuni,36.22,136.15,68.0,88.0,75.0,3.36,JP,1594591115.0
puerto baquerizo moreno,-0.9,-89.6,67.71,85.0,100.0,7.58,EC,1594591115.0
pevek,69.7,170.31,48.78,71.0,75.0,4.68,RU,1594591116.0
kodiak,57.79,-152.41,55.4,71.0,90.0,11.41,US,1594591116.0
cidreira,-30.18,-50.21,57.33,87.0,99.0,9.28,BR,1594591116.0
ponta do sol,32.67,-17.1,70.0,75.0,0.0,3.83,PT,1594591116.0
butaritari,3.07,172.79,83.55,76.0,48.0,13.6,KI,1594591116.0
mount gambier,-37.83,140.77,39.2,100.0,90.0,6.93,AU,1594591117.0
bryan,30.67,-96.37,102.0,42.0,1.0,3.36,US,1594591101.0
avarua,-21.21,-159.78,71.6,88.0,97.0,8.05,CK,1594591117.0
cacador,-26.78,-51.02,59.09,92.0,1.0,3.47,BR,1594591118.0
kosh-agach,50.0,88.67,52.36,85.0,100.0,1.74,RU,1594591118.0
mareeba,-17.0,145.43,71.6,78.0,78.0,8.05,AU,1594591118.0
waingapu,-9.66,120.26,74.28,84.0,91.0,9.06,ID,1594590821.0
saskylakh,71.92,114.08,59.81,69.0,92.0,17.96,RU,1594591119.0
laguna,38.42,-121.42,104.0,16.0,1.0,3.36,US,1594591119.0
mar del plata,-38.0,-57.56,44.6,52.0,20.0,17.22,AR,1594591036.0
pozo colorado,-23.49,-58.8,74.64,63.0,81.0,2.24,PY,1594591119.0
provideniya,64.38,-173.3,48.2,81.0,20.0,13.42,RU,1594591119.0
yellowknife,62.46,-114.35,66.99,63.0,75.0,8.05,CA,1594590946.0
roma,43.21,-75.46,73.99,88.0,90.0,4.7,US,1594591106.0
ilulissat,69.22,-51.1,48.2,70.0,33.0,4.7,GL,1594591120.0
taganak,6.08,118.3,77.0,94.0,20.0,2.24,PH,1594591120.0
hithadhoo,-0.6,73.08,85.19,70.0,86.0,9.15,MV,1594590941.0
onalaska,43.88,-91.24,84.2,42.0,20.0,9.17,US,1594591121.0
grindavik,63.84,-22.43,50.0,93.0,90.0,3.36,IS,1594591121.0
salalah,17.02,54.09,80.6,94.0,90.0,5.82,OM,1594591121.0
yeppoon,-23.13,150.73,59.0,77.0,74.0,5.82,AU,1594591122.0
chokurdakh,70.63,147.92,64.8,51.0,67.0,10.38,RU,1594591122.0
georgetown,5.41,100.34,80.6,94.0,20.0,3.91,MY,1594591122.0
plouzane,48.38,-4.62,60.8,76.0,0.0,8.05,FR,1594591122.0
chuy,-33.7,-53.46,47.34,70.0,32.0,10.38,UY,1594590834.0
